"","Crime Type","Occurance"
"32","THEFT",2799
"3","BATTERY",989
"7","CRIMINAL DAMAGE",767
"9","DECEPTIVE PRACTICE",563
"2","ASSAULT",409
"25","OTHER OFFENSE",371
"17","MOTOR VEHICLE THEFT",261
"29","ROBBERY",251
"4","BURGLARY",199
"8","CRIMINAL TRESPASS",181
"18","NARCOTICS",154
"23","OFFENSE INVOLVING CHILDREN",81
"6","CRIM SEXUAL ASSAULT",49
"30","SEX OFFENSE",38
"28","PUBLIC PEACE VIOLATION",37
"33","WEAPONS VIOLATION",29
"11","HOMICIDE",10
"13","INTERFERENCE WITH PUBLIC OFFICER",10
"16","LIQUOR LAW VIOLATION",9
"14","INTIMIDATION",8
"1","ARSON",6
"10","GAMBLING",3
"15","KIDNAPPING",2
"5","CONCEALED CARRY LICENSE VIOLATION",1
"12","HUMAN TRAFFICKING",1
"19","NON-CRIMINAL",1
"21","NON - CRIMINAL",1
"31","STALKING",1
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
