"","Crime Type","Occurance"
"32","THEFT",51
"7","CRIMINAL DAMAGE",43
"3","BATTERY",32
"9","DECEPTIVE PRACTICE",29
"25","OTHER OFFENSE",23
"2","ASSAULT",19
"4","BURGLARY",18
"17","MOTOR VEHICLE THEFT",7
"8","CRIMINAL TRESPASS",3
"29","ROBBERY",3
"18","NARCOTICS",2
"23","OFFENSE INVOLVING CHILDREN",2
"6","CRIM SEXUAL ASSAULT",1
"14","INTIMIDATION",1
"28","PUBLIC PEACE VIOLATION",1
"30","SEX OFFENSE",1
"1","ARSON",0
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"11","HOMICIDE",0
"12","HUMAN TRAFFICKING",0
"13","INTERFERENCE WITH PUBLIC OFFICER",0
"15","KIDNAPPING",0
"16","LIQUOR LAW VIOLATION",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
"31","STALKING",0
"33","WEAPONS VIOLATION",0
