"","Crime Type","Occurance"
"32","THEFT",187
"3","BATTERY",149
"9","DECEPTIVE PRACTICE",90
"29","ROBBERY",78
"7","CRIMINAL DAMAGE",72
"2","ASSAULT",58
"8","CRIMINAL TRESPASS",31
"4","BURGLARY",29
"17","MOTOR VEHICLE THEFT",29
"25","OTHER OFFENSE",26
"18","NARCOTICS",14
"30","SEX OFFENSE",7
"33","WEAPONS VIOLATION",7
"23","OFFENSE INVOLVING CHILDREN",4
"6","CRIM SEXUAL ASSAULT",2
"13","INTERFERENCE WITH PUBLIC OFFICER",2
"1","ARSON",1
"11","HOMICIDE",1
"16","LIQUOR LAW VIOLATION",1
"19","NON-CRIMINAL",1
"26","PROSTITUTION",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"12","HUMAN TRAFFICKING",0
"14","INTIMIDATION",0
"15","KIDNAPPING",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"27","PUBLIC INDECENCY",0
"28","PUBLIC PEACE VIOLATION",0
"31","STALKING",0
