"","Crime Type","Occurance"
"3","BATTERY",365
"32","THEFT",320
"7","CRIMINAL DAMAGE",293
"4","BURGLARY",138
"2","ASSAULT",135
"25","OTHER OFFENSE",113
"17","MOTOR VEHICLE THEFT",98
"18","NARCOTICS",87
"29","ROBBERY",83
"9","DECEPTIVE PRACTICE",76
"23","OFFENSE INVOLVING CHILDREN",29
"33","WEAPONS VIOLATION",28
"8","CRIMINAL TRESPASS",17
"28","PUBLIC PEACE VIOLATION",15
"11","HOMICIDE",12
"6","CRIM SEXUAL ASSAULT",11
"30","SEX OFFENSE",11
"13","INTERFERENCE WITH PUBLIC OFFICER",7
"1","ARSON",2
"31","STALKING",2
"15","KIDNAPPING",1
"16","LIQUOR LAW VIOLATION",1
"22","OBSCENITY",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"12","HUMAN TRAFFICKING",0
"14","INTIMIDATION",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
