"","Crime Type","Occurance"
"32","THEFT",1046
"3","BATTERY",1041
"7","CRIMINAL DAMAGE",573
"2","ASSAULT",361
"25","OTHER OFFENSE",322
"4","BURGLARY",280
"9","DECEPTIVE PRACTICE",259
"29","ROBBERY",241
"18","NARCOTICS",188
"17","MOTOR VEHICLE THEFT",185
"8","CRIMINAL TRESPASS",114
"33","WEAPONS VIOLATION",48
"23","OFFENSE INVOLVING CHILDREN",43
"28","PUBLIC PEACE VIOLATION",22
"13","INTERFERENCE WITH PUBLIC OFFICER",21
"6","CRIM SEXUAL ASSAULT",19
"15","KIDNAPPING",10
"1","ARSON",8
"11","HOMICIDE",8
"30","SEX OFFENSE",8
"31","STALKING",6
"5","CONCEALED CARRY LICENSE VIOLATION",2
"10","GAMBLING",2
"12","HUMAN TRAFFICKING",0
"14","INTIMIDATION",0
"16","LIQUOR LAW VIOLATION",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
