"","Crime Type","Occurance"
"32","THEFT",428
"3","BATTERY",342
"7","CRIMINAL DAMAGE",286
"2","ASSAULT",158
"17","MOTOR VEHICLE THEFT",158
"4","BURGLARY",144
"25","OTHER OFFENSE",138
"9","DECEPTIVE PRACTICE",119
"29","ROBBERY",77
"8","CRIMINAL TRESPASS",38
"18","NARCOTICS",33
"23","OFFENSE INVOLVING CHILDREN",13
"28","PUBLIC PEACE VIOLATION",13
"6","CRIM SEXUAL ASSAULT",11
"11","HOMICIDE",9
"1","ARSON",8
"33","WEAPONS VIOLATION",8
"15","KIDNAPPING",5
"13","INTERFERENCE WITH PUBLIC OFFICER",4
"31","STALKING",4
"16","LIQUOR LAW VIOLATION",2
"14","INTIMIDATION",1
"30","SEX OFFENSE",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"12","HUMAN TRAFFICKING",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
