"","Crime Type","Occurance"
"32","THEFT",570
"3","BATTERY",534
"7","CRIMINAL DAMAGE",351
"2","ASSAULT",216
"25","OTHER OFFENSE",163
"29","ROBBERY",134
"17","MOTOR VEHICLE THEFT",131
"9","DECEPTIVE PRACTICE",129
"4","BURGLARY",92
"18","NARCOTICS",67
"8","CRIMINAL TRESPASS",44
"33","WEAPONS VIOLATION",36
"23","OFFENSE INVOLVING CHILDREN",27
"6","CRIM SEXUAL ASSAULT",19
"13","INTERFERENCE WITH PUBLIC OFFICER",10
"30","SEX OFFENSE",10
"11","HOMICIDE",7
"28","PUBLIC PEACE VIOLATION",6
"10","GAMBLING",2
"16","LIQUOR LAW VIOLATION",2
"31","STALKING",2
"1","ARSON",1
"12","HUMAN TRAFFICKING",1
"15","KIDNAPPING",1
"22","OBSCENITY",1
"26","PROSTITUTION",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"14","INTIMIDATION",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"24","OTHER NARCOTIC VIOLATION",0
"27","PUBLIC INDECENCY",0
