"","Crime Type","Occurance"
"32","THEFT",480
"3","BATTERY",433
"7","CRIMINAL DAMAGE",316
"25","OTHER OFFENSE",161
"17","MOTOR VEHICLE THEFT",157
"2","ASSAULT",153
"4","BURGLARY",153
"9","DECEPTIVE PRACTICE",152
"29","ROBBERY",91
"18","NARCOTICS",47
"8","CRIMINAL TRESPASS",34
"23","OFFENSE INVOLVING CHILDREN",24
"33","WEAPONS VIOLATION",18
"6","CRIM SEXUAL ASSAULT",13
"30","SEX OFFENSE",13
"28","PUBLIC PEACE VIOLATION",8
"13","INTERFERENCE WITH PUBLIC OFFICER",7
"1","ARSON",4
"11","HOMICIDE",4
"14","INTIMIDATION",2
"15","KIDNAPPING",2
"10","GAMBLING",1
"16","LIQUOR LAW VIOLATION",1
"26","PROSTITUTION",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"12","HUMAN TRAFFICKING",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"27","PUBLIC INDECENCY",0
"31","STALKING",0
