"","Crime Type","Occurance"
"3","BATTERY",302
"7","CRIMINAL DAMAGE",135
"2","ASSAULT",107
"32","THEFT",93
"25","OTHER OFFENSE",70
"4","BURGLARY",54
"17","MOTOR VEHICLE THEFT",33
"8","CRIMINAL TRESPASS",32
"29","ROBBERY",32
"33","WEAPONS VIOLATION",32
"18","NARCOTICS",27
"9","DECEPTIVE PRACTICE",24
"23","OFFENSE INVOLVING CHILDREN",12
"28","PUBLIC PEACE VIOLATION",7
"6","CRIM SEXUAL ASSAULT",6
"30","SEX OFFENSE",6
"31","STALKING",4
"11","HOMICIDE",3
"1","ARSON",2
"13","INTERFERENCE WITH PUBLIC OFFICER",1
"15","KIDNAPPING",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"12","HUMAN TRAFFICKING",0
"14","INTIMIDATION",0
"16","LIQUOR LAW VIOLATION",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
