"","Crime Type","Occurance"
"32","THEFT",465
"3","BATTERY",380
"7","CRIMINAL DAMAGE",308
"2","ASSAULT",173
"25","OTHER OFFENSE",140
"9","DECEPTIVE PRACTICE",109
"17","MOTOR VEHICLE THEFT",100
"4","BURGLARY",87
"18","NARCOTICS",78
"29","ROBBERY",67
"33","WEAPONS VIOLATION",30
"8","CRIMINAL TRESPASS",27
"23","OFFENSE INVOLVING CHILDREN",19
"28","PUBLIC PEACE VIOLATION",15
"1","ARSON",13
"6","CRIM SEXUAL ASSAULT",10
"11","HOMICIDE",9
"30","SEX OFFENSE",6
"13","INTERFERENCE WITH PUBLIC OFFICER",5
"15","KIDNAPPING",3
"16","LIQUOR LAW VIOLATION",3
"31","STALKING",2
"14","INTIMIDATION",1
"22","OBSCENITY",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"12","HUMAN TRAFFICKING",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
