"","Crime Type","Occurance"
"3","BATTERY",222
"32","THEFT",206
"7","CRIMINAL DAMAGE",169
"25","OTHER OFFENSE",120
"17","MOTOR VEHICLE THEFT",101
"2","ASSAULT",83
"4","BURGLARY",82
"18","NARCOTICS",55
"9","DECEPTIVE PRACTICE",53
"29","ROBBERY",41
"33","WEAPONS VIOLATION",22
"8","CRIMINAL TRESPASS",17
"23","OFFENSE INVOLVING CHILDREN",14
"6","CRIM SEXUAL ASSAULT",9
"1","ARSON",8
"28","PUBLIC PEACE VIOLATION",8
"11","HOMICIDE",5
"30","SEX OFFENSE",5
"13","INTERFERENCE WITH PUBLIC OFFICER",3
"19","NON-CRIMINAL",2
"16","LIQUOR LAW VIOLATION",1
"22","OBSCENITY",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"12","HUMAN TRAFFICKING",0
"14","INTIMIDATION",0
"15","KIDNAPPING",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
"31","STALKING",0
